run_id,best_val_mean_mae,mean_test_mae,test_target_0_mae,N,targets,batch_size,lr,alpha_lr,weight_decay,alpha,num_epochs,dims,hops,act_fn,readout_hidden_dims,pooling,apply_readout,learn_alpha,gso_generator,use_bn,dropout_p,patience
A8MJ,1.0319278,1.0711339712142944,1.0711339712142944,1200,[0],64,0.0001,0.01,1e-05,0,250,"[11, 64, 64]",2,ReLU,"[64, 32]",sum,True,True,hub_laplacian,True,0.2,50
OZMK,0.99654233,1.0553151369094849,1.0553151369094849,1200,[0],64,0.0001,0.01,1e-05,0,250,"[11, 64, 64]",2,ReLU,"[64, 32]",max,True,True,hub_laplacian,True,0.2,50
BS8Q,1.0428315,1.0752350091934204,1.0752350091934204,1200,[0],64,0.0001,0.01,1e-05,0,250,"[11, 64, 64]",2,ReLU,"[64, 32]",mean,True,True,hub_laplacian,True,0.2,50
CRAK,3.087976,3.0273375511169434,3.0273375511169434,1200,[1],64,0.0001,0.01,1e-05,0,250,"[11, 64, 64]",2,ReLU,"[64, 32]",sum,True,True,hub_laplacian,True,0.2,50
V86H,5.8945103,6.231715202331543,6.231715202331543,1200,[1],64,0.0001,0.01,1e-05,0,250,"[11, 64, 64]",2,ReLU,"[64, 32]",max,True,True,hub_laplacian,True,0.2,50
VKM6,6.097274,5.569222450256348,5.569222450256348,1200,[1],64,0.0001,0.01,1e-05,0,250,"[11, 64, 64]",2,ReLU,"[64, 32]",mean,True,True,hub_laplacian,True,0.2,50
TOPR,1.2293626,1.1865065097808838,1.1865065097808838,1200,[2],64,0.0001,0.01,1e-05,0,250,"[11, 64, 64]",2,ReLU,"[64, 32]",sum,True,True,hub_laplacian,True,0.2,50
L2UD,0.5932239,0.7098525762557983,0.7098525762557983,1200,[2],64,0.0001,0.01,1e-05,0,250,"[11, 64, 64]",2,ReLU,"[64, 32]",max,True,True,hub_laplacian,True,0.2,50
1SCP,0.49516147,0.4268842041492462,0.4268842041492462,1200,[2],64,0.0001,0.01,1e-05,0,250,"[11, 64, 64]",2,ReLU,"[64, 32]",mean,True,True,hub_laplacian,True,0.2,50
